,sighted_timestamp,city,state,country,shape,duration_seconds,duration_mins,comments,date_posted,latitude,longitude
515,9/27/2006 10:12,wilton,nh,us,other,240.0,4min.,red matalic  stretched dimond shape with red light flashing,10/30/2006,42.8433333,-71.7355556
516,9/27/2006 12:25,plymouth,pa,us,cigar,30.0,30 seconds,The object at first seemed to be an airliner coming in for a landing. Then it was noticed that BRIGHT WHITE object appeared to be dangl,10/30/2006,41.2402778,-75.945
517,9/27/2006 12:46,torrance,ca,us,oval,60.0,less than 1 minute,An oval-shaped flying object appeared on one of my photographs that i have taken for school&#39s yearbook duty.,2/1/2007,33.8358333,-118.33972220000001
518,9/27/2006 13:00,arizona (in-flight),az,,,6.0,4-6 seconds,Red and blue &#44box shape with rounded corners&#44 with vapor trail &#44traveling parallel with my plane going in opposite direction.,10/30/2006,34.048928000000004,-111.093731
519,9/27/2006 13:00,fes (morocco),,,,300.0,5 minutes,standing on roof of apartment&#44 clear sunny day. Observed white object wobbeling accross sky&#44 at first thought it was a bird and then be,12/7/2006,34.033333,-5.0
520,9/27/2006 14:20,waterville (east of),wa,us,other,3.0,2-3 seconds,Metallic Object Flying Close To Ridge Near Dry River Bed,10/30/2006,47.6472222,-120.07
521,9/27/2006 15:00,woodway,tx,us,cigar,120.0,2 minutes,LONG&#44 LOW  VERY BRIGHT CIGAR SHAPED OBJECT&#44 NO SOUND &#44 LARGE WINDOWS &#44 DISAPPEARED,10/30/2006,31.5058333,-97.2047222
522,9/27/2006 18:30,flatwoods,ky,us,disk,180.0,3 minutes,SAUCER SHAPED CRAFT MOVING SOUTH TO NORTH OVER THE OHIO RIVER INTO OHIO FROM KENTUCKY,10/30/2006,38.5225,-82.71722220000001
523,9/27/2006 18:58,boston,ma,us,other,10.0,10 seconds,fast moving odd shaped craft,10/30/2006,42.3583333,-71.0602778
524,9/27/2006 19:00,baytown,tx,us,sphere,180.0,3 min,Disk shaped navy blue U.F.O emmiting light beams into sky in Baytown Texas,10/30/2006,29.7352778,-94.9772222
525,9/27/2006 20:00,none,me,,circle,3600.0,1 hour +,Distant circles/spheres with red green and white lights apparantly chaseing around perimeter observed on Allagash River in Maine.,10/30/2006,45.480609,-70.184803
526,9/27/2007 01:00,hilton head island,sc,us,unknown,600.0,10 mins,It looked like the Space Shuttle Main Engines but instead of three there were two. The color coming from the exhausts was red and blue,10/8/2007,32.216111100000006,-80.75277779999999
527,9/27/2007 04:34,kennedy space center,fl,,unknown,2.0,1-2 seconds,UFO Fly-By At The &#39Dawn&#39 Probe Launch,10/8/2007,28.572871999999997,-80.648981
528,9/27/2007 07:35,orlando,fl,us,oval,2.0,several seconds,Object near DAWN space probe during launch from KSC,11/28/2007,28.538055600000003,-81.3794444
529,9/27/2007 14:00,reno,nv,us,rectangle,30.0,30 seconds,Large rectangle&#44 invisible apart from its outline,3/19/2009,39.5297222,-119.81277779999999
530,9/27/2007 14:30,carrollton,tx,us,light,360.0,6minutes,Bright pin point light moving extremely slow at High Altitude,10/8/2007,32.9536111,-96.89
531,9/27/2007 20:00,las vegas,nv,us,triangle,20.0,20 seconds,Myself&#44 and two police officers&#44 observed a flying triangle flying over us in the Las Vegas sky.,10/8/2007,36.175,-115.1363889
532,9/27/2007 20:23,independence,mo,us,unknown,20.0,20 seconds,Fast bright object over Independence&#44 MO,10/8/2007,39.091111100000006,-94.4152778
533,9/27/2007 21:00,atwater,oh,us,triangle,120.0,few minutes,Triangle Craft Sighting,4/14/2009,41.023888899999996,-81.1636111
534,9/27/2007 21:45,conway,ar,us,light,300.0,5 min,UFO over the practice field at UCA,10/8/2007,35.0886111,-92.4419444
535,9/27/2007 22:00,tempe,az,us,triangle,120.0,2 minutes,((HOAX??))  Large triangle shaped object with several lights on the bottom flew over tempe,11/28/2007,33.4147222,-111.9086111
536,9/27/2008 00:00,houston,tx,us,light,180.0,3 minutes,one bright light noticed - three light travel together then split to for a perfect triangle.,10/31/2008,29.763055600000005,-95.3630556
537,9/27/2008 00:30,adelaide  (south australia),oh,au,light,180.0,3mins,A set of 5-7 unknown lights flash over the city of adelaide&#44 australia.,10/31/2008,-34.928661,138.598633
538,9/27/2008 00:30,santa rosa,nm,us,fireball,20.0,20 seconds,A large yellow fireball traveling slowly and nearly horizontal across the night sky,10/31/2008,34.9386111,-104.6819444
539,9/27/2008 03:30,city of rocks national reserve,id,,unknown,7200.0,1-2 hours,Color changing light moving erratically just off the horizon in the distance.,10/31/2008,42.077403000000004,-113.70378000000001
540,9/27/2008 04:48,playa del rey,ca,us,flash,900.0,15 min,Fire alarm went off then Strobing light filled the sky,10/31/2008,33.9488889,-118.4447222
541,9/27/2008 11:30,tampa,fl,us,oval,120.0,1-2 minutes,Silver metallic oval-shaped object seen over I-4 in Tampa&#44 Florida on 09/27/2008 in daylight,10/31/2008,27.947222200000002,-82.45861109999998
542,9/27/2008 13:00,tinley park,il,us,light,180.0,3 minutes,2 Flashing Lights In Tinley Park,10/31/2008,41.5733333,-87.7844444
543,9/27/2008 15:15,jacksonville beach,fl,us,flash,600.0,10 minutes,At approximately 15:15 on Saturday September 27th 2008&#44 I was wading on the shore of Jacksonville Beach in about 5 feet of water observ,10/31/2008,30.294444399999996,-81.3933333
544,9/27/2008 17:00,las vegas,nv,us,sphere,3000.0,40-50 minutes,Sphere over Las Vegas viewed from the pool of the Imperial Palace Hotel.,10/31/2008,36.175,-115.1363889
545,9/27/2008 19:00,morden&#44 surrey (uk/england),,,unknown,300.0,5 minutes approx,Strange object over the skies of Morden&#44 Surrey&#44 UK,10/31/2008,51.394943,-0.19446
546,9/27/2008 20:40,castle rock,co,us,light,2700.0,45 minutes or so,Star-like colored lights hovering very low&#44 small plane had to sweve to miss it.,10/31/2008,39.3722222,-104.8555556
547,9/27/2008 22:02,village of oak creek,az,,changing,1020.0,17 minutes,Ferris wheel looking object flashing different colored lights,10/31/2008,34.780297,-111.762653
548,9/27/2008 22:30,granger,in,us,light,120.0,2 minutes,Two bright lights that dimmed fast,10/31/2008,41.7533333,-86.1108333
549,9/27/2008 23:20,clinton,ut,us,triangle,6.0,6 seconds,triangle shaped craft with 3 large lights in the corners traveling 800+ mph with no sound.,10/31/2008,41.1397222,-112.0497222
550,9/27/2008 23:20,novi,mi,us,sphere,1200.0,20 minutes,Four glowing orbs watched as they travelled from the northeast to the southwest in Novi&#44 Oakland County&#44 Michigan,10/31/2008,42.4805556,-83.47555559999999
551,9/27/2009 02:39,randle,wa,us,disk,1200.0,three days in a row,It seems to move left and right and up and down in it&#39s pattern of flight.,12/12/2009,46.535277799999996,-121.95583329999998
552,9/27/2009 05:00,anthony,fl,us,,2.0,2 seconds,Bright object flew over the house and lit up the whole area.,2/21/2014,29.289166700000003,-82.1119444
553,9/27/2009 15:00,portland,or,us,circle,2400.0,40+ minutes,Silver objects flying near the sun,12/12/2009,45.523611100000004,-122.675
554,9/27/2009 16:38,aylett,va,us,light,300.0,5 min.,fast moving bright solid light in the sky.,12/12/2009,37.7858333,-77.1052778
555,9/27/2009 19:44,irwindale/azusa,ca,,sphere,300.0,4-5 minutes,An unknown Sphere of light flying,12/12/2009,34.117979999999996,-117.93388600000002
556,9/27/2009 20:00,key west,fl,us,oval,5.0,5sec,One fire ball flying over the ocean in keywest for about 5 seconds then it vanished,2/14/2010,24.555277800000002,-81.78277779999999
557,9/27/2009 20:08,denton,tx,us,light,120.0,2 minutes,Bright&#44 wobbling&#44 white light moving accross the sky&#44 no sound and moving fast compare to other airplanes and satellites.,12/12/2009,33.214722200000004,-97.1327778
558,9/27/2009 20:30,modesto,ca,us,light,120.0,2 min,bright blue neon light moving slowly across the sky,12/12/2009,37.639166700000004,-120.99583329999999
559,9/27/2009 22:00,rahway,nj,us,circle,7.0,7 seconds,the object appeared as a streak of light then stopped for 2 secs then took off in another direction and disappeared,12/12/2009,40.60805560000001,-74.2780556
560,9/27/2009 22:30,west palm beach,fl,us,fireball,15.0,15 sec.,Fireball that crossed northern horizon then shot upward and disappeared.,12/12/2009,26.705277799999998,-80.0366667
561,9/27/2009 23:00,westport,ct,us,disk,60.0,1 minute,Large saucer in the sky over Westport&#44 CT&#33,12/12/2009,41.141388899999995,-73.3583333
562,9/27/2010 18:00,canon city,co,us,cigar,30.0,30 seconds,cigar shape object reflecting the sun&#39s light,11/21/2010,38.4,-105.21666670000002
563,9/27/2010 19:27,ciudad ojeda (venezuela),,,light,3600.0,1 hour,&quot;star&quot; over maracaibo lake.  ((NUFORC Note:  Possible sighting of a celestial body?  We will look at the photos&#44 if they are sent. PD)),5/2/2011,10.2,-71.3
564,9/27/2010 20:38,simpsonville,ky,us,unknown,2700.0,45 mins,9/27/10  SIMPSONVILLE&#44KY  VARIOUS COLORED LIGHTS  45 MINS  HOOVERING IN SKY  9/28/10,11/21/2010,38.2225,-85.3552778
565,9/27/2010 22:15,kyle,tx,us,chevron,4.0,4 seconds,Huge bommerange shaped UFO with faint red lights flying stealth northwest to southeast,11/21/2010,29.988888899999996,-97.8769444
566,9/27/2011 03:45,holland,mi,us,cylinder,120.0,2 min,Cylinder shape&#44 2 bright lights on bottom&#44 one on each side of craft as well as one in front&#44 foggy skies&#44 craft aprox 15ft from roof.,10/10/2011,42.7875,-86.10888890000001
567,9/27/2011 04:30,richmond,ky,us,triangle,120.0,2 minutes,Triangular aircraft with huge round lights underneath traveled within 30 feet of my window as I watched it come across the river.,10/10/2011,37.7477778,-84.29472220000001
568,9/27/2011 12:45,st. simons island,ga,us,sphere,7200.0,2 hrs?,Object appeared as a rounded bright light&#44 stopping then moving rapidly (erratically) in any direction.  ((NUFORC Note:  Star??  PD)),10/10/2011,31.150277799999998,-81.36972220000001
569,9/27/2011 17:30,broomfield,co,us,other,1500.0,25 minutes,Gold lime green irregular bulb-shaped object Broomfield&#44 CO 5:30PM  9/27/11,5/13/2012,39.92055560000001,-105.0861111
570,9/27/2011 19:20,arcadia,ca,us,light,120.0,2 minutes,Light blue/white light near the hills North of the 210 Freeway,10/10/2011,34.1397222,-118.03444440000001
571,9/27/2011 20:00,little rock,ar,us,sphere,60.0,1 minute,two huge amber&#44 orange orbs flew over my house.,12/12/2011,34.7463889,-92.28944440000001
572,9/27/2011 20:30,cheektowaga (buffalo),ny,us,fireball,60.0,approx 1 min,We saw a fireball object&#44 no lights&#44 no sound nor smoke/exhaust.,10/10/2011,42.9033333,-78.755
573,9/27/2011 21:00,eugene,or,us,circle,600.0,10 minutes,Five fiery lights/dark circular objects seen by young couple in Eugene&#44 OR.,10/10/2011,44.0522222,-123.08555559999999
574,9/27/2011 21:30,englewood,fl,us,light,7200.0,2 hours,Bright colored lights of 1 object hovering in one position over Gulf of Mexico from FL.  ((NUFORC Note:  Star&#44 possibly Sirius.  PD)),10/10/2011,26.961666700000002,-82.3527778
575,9/27/2011 21:34,tucson,az,us,sphere,900.0,15 minutes,Triangle of three light green orbs flying North over Tucson&#44 AZ before shooting directly up and disappearing.,10/10/2011,32.2216667,-110.9258333
576,9/27/2011 21:45,gastonia,nc,us,fireball,5.0,5 sec,Very low in sky&#44 humming sound&#44 not very fast&#44 color of fire ball with bobbing top on it,10/10/2011,35.2619444,-81.1875
577,9/27/2011 23:00,cary,nc,us,circle,18000.0,5+ hours,Typical looking illuminating object very similar to the ones seen in the NASA STS-75 videos. ((NUFORC Note:  Possible star?  PD)),10/19/2011,35.791388899999994,-78.78138890000001
578,9/27/2012 00:00,waves,nc,us,circle,240.0,4 minutes,I just wanted to let you know we saw several of the fireballs traveling all over and then fade out. We went to explore further while va,10/30/2012,35.5666667,-75.46888890000001
579,9/27/2012 07:00,newport (gwent) (uk/wales),,gb,light,300.0,5 minutes,There was a aircraft flying to the west with its trail following behind and there was a second craft tracking its flying pattern and fl,10/30/2012,52.016667,-4.8333330000000005
580,9/27/2012 09:00,raleigh,nc,us,circle,20.0,20 seconds,Silver circle hovering in sky,10/30/2012,35.771944399999995,-78.63888890000001
581,9/27/2012 15:30,badger (s. of; n. of fort dodge),ia,us,cylinder,600.0,10 minutes,One rotating blade (but rotated very&#44 very slow). No sound.,10/30/2012,42.6144444,-94.14583329999999
